epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.565,1.58391,4.71367,1.50837,0.30437,0.27594,0.20223,0.08988,2.70378,7.38004,2.79045,0.0674735,0.000663805,0.000663805
2,328.037,1.60139,4.54018,1.51716,0.45264,0.5784,0.44059,0.23881,1.63216,5.96245,1.60281,0.0348002,0.00132383,0.00132383
3,456.666,1.56383,4.39455,1.49006,0.48096,0.58745,0.50379,0.27657,1.58074,4.67353,1.59475,0.00212027,0.00197721,0.00197721
4,610.414,1.48468,4.14147,1.43595,0.50292,0.60181,0.50218,0.27485,1.46411,3.8366,1.4011,0.00197006,0.00197006,0.00197006
5,775.557,1.45419,3.99537,1.41802,0.33974,0.67586,0.44447,0.24268,1.43095,4.36134,1.42653,0.00196008,0.00196008,0.00196008
6,900.144,1.398,3.83979,1.38241,0.5459,0.67645,0.58886,0.34119,1.44702,3.46741,1.38875,0.0019501,0.0019501,0.0019501
7,1024.09,1.38826,3.76797,1.36705,0.55506,0.62919,0.56219,0.33021,1.37081,3.53267,1.35143,0.00194012,0.00194012,0.00194012
8,1147.85,1.34138,3.64803,1.34068,0.53479,0.70693,0.60261,0.36711,1.2746,3.24098,1.27451,0.00193014,0.00193014,0.00193014
9,1271.98,1.32666,3.56268,1.33561,0.57034,0.69627,0.62074,0.38836,1.25021,3.17085,1.2786,0.00192016,0.00192016,0.00192016
10,1395.64,1.2909,3.49299,1.31324,0.59715,0.70698,0.66062,0.41774,1.22676,2.87659,1.26806,0.00191018,0.00191018,0.00191018
11,1519.64,1.29376,3.46066,1.32096,0.56051,0.68243,0.63216,0.4038,1.23,3.00368,1.28108,0.0019002,0.0019002,0.0019002
12,1657.1,1.25563,3.35599,1.30352,0.58211,0.67825,0.6504,0.40207,1.23028,3.13654,1.27342,0.00189022,0.00189022,0.00189022
13,1817.72,1.23331,3.28108,1.27603,0.57614,0.69485,0.67371,0.43537,1.21386,3.05008,1.24805,0.00188024,0.00188024,0.00188024
14,1973.74,1.22858,3.2903,1.2725,0.5962,0.74921,0.71027,0.45611,1.18093,2.7144,1.22273,0.00187026,0.00187026,0.00187026
15,2125.5,1.21086,3.22976,1.26908,0.58727,0.77466,0.68711,0.45434,1.16424,2.70097,1.22356,0.00186028,0.00186028,0.00186028
16,2278.27,1.207,3.18896,1.26442,0.63757,0.70673,0.70395,0.45112,1.25541,2.86308,1.26282,0.0018503,0.0018503,0.0018503
17,2435.64,1.19468,3.13529,1.25373,0.57386,0.79727,0.70554,0.47308,1.15674,2.68102,1.20468,0.00184032,0.00184032,0.00184032
18,2570.73,1.18189,3.16353,1.24892,0.5946,0.77737,0.72101,0.48441,1.15891,2.60983,1.2072,0.00183034,0.00183034,0.00183034
19,2693.04,1.16467,3.12902,1.23931,0.59746,0.80395,0.70853,0.46617,1.1437,2.59673,1.20039,0.00182036,0.00182036,0.00182036
20,2815.13,1.15973,3.06048,1.23691,0.58734,0.76428,0.69915,0.47294,1.11914,2.56302,1.18161,0.00181038,0.00181038,0.00181038
21,2941.44,1.15199,3.0841,1.23683,0.61242,0.78763,0.70893,0.48283,1.09999,2.46971,1.17964,0.0018004,0.0018004,0.0018004
22,3074.21,1.15765,3.004,1.23316,0.63464,0.69327,0.70437,0.47572,1.11113,2.59694,1.18329,0.00179042,0.00179042,0.00179042
23,3219.85,1.14947,3.02106,1.2325,0.6073,0.77976,0.72333,0.48911,1.13037,2.54233,1.18737,0.00178044,0.00178044,0.00178044
24,3367.62,1.1291,2.97205,1.21417,0.6553,0.75465,0.75622,0.52479,1.07614,2.36729,1.15654,0.00177046,0.00177046,0.00177046
25,3508.63,1.1476,2.99609,1.22607,0.6781,0.78343,0.76687,0.51032,1.142,2.40942,1.18549,0.00176048,0.00176048,0.00176048
26,3647.81,1.11359,2.94673,1.21795,0.661,0.75163,0.75788,0.51929,1.08024,2.36893,1.14625,0.0017505,0.0017505,0.0017505
27,3801.32,1.0987,2.88313,1.19507,0.6655,0.73802,0.76139,0.51748,1.05779,2.33777,1.15214,0.00174052,0.00174052,0.00174052
28,3951.68,1.11195,2.92423,1.21092,0.64864,0.80322,0.76587,0.52684,1.08909,2.32157,1.15413,0.00173054,0.00173054,0.00173054
29,4075.49,1.11632,2.88438,1.20972,0.61647,0.77445,0.72761,0.50245,1.06717,2.43742,1.14797,0.00172056,0.00172056,0.00172056
30,4202.09,1.09035,2.87007,1.19627,0.64046,0.76521,0.72915,0.5052,1.08199,2.35969,1.14749,0.00171058,0.00171058,0.00171058
31,4326.48,1.07897,2.81429,1.18916,0.67905,0.77886,0.772,0.54489,1.03869,2.28561,1.13238,0.0017006,0.0017006,0.0017006
32,4461.24,1.08157,2.80119,1.19143,0.64013,0.7897,0.77004,0.53876,1.04379,2.28234,1.14188,0.00169062,0.00169062,0.00169062
33,4611.74,1.07411,2.76498,1.18899,0.65043,0.79553,0.75921,0.52406,1.06261,2.33993,1.15431,0.00168064,0.00168064,0.00168064
34,4755.92,1.08797,2.7997,1.19646,0.63151,0.76977,0.75624,0.53484,1.0471,2.34617,1.13424,0.00167066,0.00167066,0.00167066
35,4880.26,1.0652,2.77879,1.18111,0.64023,0.83579,0.77315,0.53548,1.05533,2.25875,1.13295,0.00166068,0.00166068,0.00166068
36,5030.18,1.0602,2.7081,1.1809,0.64377,0.78512,0.75825,0.52499,1.03495,2.25995,1.14557,0.0016507,0.0016507,0.0016507
37,5167.77,1.0502,2.68978,1.17549,0.61971,0.81955,0.77387,0.54621,1.04768,2.26229,1.14458,0.00164072,0.00164072,0.00164072
